Boogie Down Productions,krs,bdp,diggi,blastmaster,larock,scott,melodie,tcha,kris,productions,widdy,tings,stylee,gal,vous,kenny,bye,controls,wan,bronx,metaphysical,dong,chem,reggae,pom,cos,perk,icu,kyant,violence,parker,fi,industries,edutainment,hah,african,egyptians,poetry,they8217re,mcboo,we8217re,racist,chat,posse,it8217s,i8217m,whick,bloo,stardom,abraham
Brand Nubian,nubian,jamar,probable,puba,muthaphucka,sadat,pubas,sharpens,godz,cos,troublin,alamo,pu,derek,frowning,nu,grains,rochelle,borns,mystery,courtland,hut,ragtime,trusting,bubblin,maxwell,liner,everthings,introchorus,dedicate,dread,aiyyo,sincere,bye,dreadlock,wiv,mankind,x,micraphone,brand,grand,lg,battlefield,civilize,knot,eliminate,knowledge,cipher,ep,bronx
Busta Rhymes,flipmode,busta,conglomerate,opin,yah,wildin,mystikal,niggas,courvoisier,dinco,shit,rowdy,digga,aeiyo,oonu,rampage,nigga,bottoms,di,squad,cmon,grinch,goooooooo,hah,inna,lalalala,rah,yuh,arab,cha,reptar,spliff,milo,format,yup,bah,woo,laaaa,liberian,mi,bounce,ramp,mek,oooooooooooo,sham,anarchy,introoutro,marsha,bitches,wylin
De La Soul,meany,pos,dove,oodles,mase,jenifa,plug,aaah,oooh,buddy,jeff,jenny,lawd,de,ic,p2,phife,os,skeezer,trugoy,lawnge,paul,jody,luuden,fulltime,merc,dres,hello,tunin,nonstop,gmc,trenches,quest,potholes,chattanooga,whipper,beepers,native,rrrr,recording,stakes,doo,abstract,millie,pitched,padlock,daisy,saturday,afrika,peas
Diddy,diddy,mase,notorious,que,puff,remix,peaches,dep,delivery,benjamins,112,understands,sean,alllll,shit,harlem,youknowhatimsayin,niggas,yearning,repeat,goodfellas,enemy,pd,satisfy,wana,te,roxanne,courvoisier,yep,expression,diddys,puffy,nigga,loon,bentley,ture,cmon,nz,fk,gansta,por,iiiiiii,preciate,curl,kain,justin,sheek,goodfella,playa,spoilers
Digable Planets,easin,funk,swoon,planets,jettin,units,dps,mecca,crooklyn,insect,butterfly,ladybug,jazz,doodle,flams,marx,creamy,nickel,plaits,joyce,norm,junk,spaces,trane,digable,dat,baggy,sundays,slicker,psychedelic,manchu,rhythms,jams,jive,boomin,fluent,insects,sugars,nappy,vibin,naps,duds,ladybugs,kamali,butterflys,felts,pestilent,blooms,cocoons,mumias
DJ Jazzy Jeff & The Fresh Prince,jeff,jazzy,fp,hyped,prince,jeffs,shadow,charlie,tig,aaooww,teresa,monotony,sumthin,aaoww,uppercut,twinkle,wheelz,jj,tic,mum,numero,limo,jazzys,oowww,dj,girlie,chitty,riggidy,bettys,bel,djs,skool,deejays,toots,blinker,jeffrey,groove,def,psyched,literary,candlelight,jockey,pup,beatbox,transformer,astounding,goodman,ooww,mx,honked
DMX,arf,ryders,ruff,diggy,niggas,ryde,dmx,tiiiime,catz,grrr,shit,beee,dogs,nigga,fuck,gots,dang,gon,bloodline,fassy,kato,dogz,wha,fog,phaze,boom,cats,fk,yonkers,slugs,touchy,clubbin,ayo,aiyyo,bitches,oooohhhhh,bitch,dog,slipping,wit,nutt,summin,untouchable,x,motha,dawg,somthin,uhh,bark,sheek
Eve,tambourine,eve,swizz,ryde,lovell,whistlin,beatz,ruff,bombshell,aiiyo,jadakiss,eves,breaka,fk,philly,ryders,ugh,drag,mimi,ryder,dogz,babygirl,guessing,shit,scorpion,woo,v,satisfaction,niggas,wcw,evey,bitches,whistle,pinned,blond,din,nitro,whiling,ain,pearls,cris,fkin,touching,chips,stallin,repeat,coz,streetz,bernie,boyfriend
Fugees,giggles,wyclef,pras,refugees,vocab,softly,fugees,laaah,strumming,lauryn,refugee,unh,reconcile,lalala,cheeba,prakazrel,clef,ting,oooh,zealots,prazwell,rashad,zion,skippity,tronic,elec,adjusting,zen,jacques,la,brackets,fugee,recharge,ichi,jericho,haitian,armies,babylon,youknowimsayin,haitis,alors,percenter,zaire,vous,november,blunted,zsa,manifest,gab,libra
Gang Starr,guru,gangstarr,premier,starr,shug,positivity,militia,steez,chumps,tons,hiney,gusto,surprisingly,devestating,primo,influential,scratches,riot,gotch,dop,betrayal,mcs,manifest,premiers,suckers,foxxx,gangstarrs,punks,escalate,jeru,jazz,lyn,theory,greg,gifted,foolproof,duelin,illest,stifle,relaxation,decree,greedier,arena,scratched,universal,conspired,soliloquy,surpass,execution,remains
Ghostface Killah,theodore,ghostface,starks,woodrow,tush,aiyo,toney,staten,wu,raekwon,killah,stark,ghost,delivery,youknowhatimean,ironman,tang,maxine,stapleton,trynna,clarks,robes,fk,niggas,cappadonna,island,mattola,shit,iron,tony,fuck,bush,airbrush,chauncey,tonys,tops,trife,bangles,bicardi,mooney,greedy,wally,darts,aha,aiyyo,spades,ditty,narcs,meth,nigga
Grandmaster Flash & the Furious Five,shoo,wantcha,grandmaster,din,creole,gra,zodiac,raheim,melle,cowboy,stevie,flash,scorpio,oah,ahahahaha,aiyyy,furious,mel,whoa,raheem,jungle,virgo,higher,capricorn,aquarius,repossessed,blossoms,pickpockets,rik,augustus,trainee,ha,mccoy,lovers,vanderbilt,dell,fandango,peddlers,deans,eta,panhandlers,fas,shy,ness,sez,midrange,sal,burglars,evrybody,bun
Grandmaster Flash,chaka,survival,khan,dop,supernat,fastest,1987,melle,grafitti,raah,breakers,flygirl,winners,herc,underarms,grandmaster,wrapped,flash,grandmasters,ramo,djs,millon,odor,birthday,breakdown,ba,mel,cutting,caddys,survive,rocked,cowboy,cuase,dusk,slightest,swirl,siege,sasson,choise,piggies,serenades,latifa,headspin,entangled,michelangelos,unitin,ghengis,grocers,glowed,arranged
G-Unit,unit,lloyd,yaha,yayo,50,cent,iam,nutts,banks,tha,gggggg,nigga,soliders,ur,wan,somebooooody,fk,boyyyy,niggas,mats,bm,yousta,gggga,stunt,wen,xxxxx,niggah,shit,thang,houndin,fked,shawty,shooter,meow,stones,ment,cig,tony,ova,underdogs,buddy,wat,bitch,naggin,shells,te,southside,toaster,hummer,fuck
GZA,gza,rza,amplified,wu,rakeem,breaker,genius,swords,instructions,trample,cra,yugo,celebs,execs,superlogical,extorted,steels,currents,abstract,shogun,errors,basic,tang,removed,sample,producers,duel,mcing,arctic,fk,lively,energized,shovels,rodriguez,shams,explored,vessel,mcs,clan,shatter,hebrew,crunchy,chiefs,toucan,rec,processing,asserted,imi,panes,wisp
Immortal Technique,immortal,technique,revolutionary,que,revolution,countries,goonies,mierda,democracy,harlem,3rd,martyr,resources,corporate,aztec,homeland,corporations,paramilitary,terrorists,government,laden,latino,overthrow,gente,stronghold,america,propaganda,cia,economic,funded,racist,lantern,slavery,conservative,mythology,revolucion,socialist,guerrilla,warfare,freedom,glittering,manufactured,monetary,noriega,political,psychology,iraq,pharoahe,rampant,revolutionaries
Inspectah Deck,rec,brothaz,ins,killah,staten,wu,siny,rebel,10304,inspectah,uncontrolled,plo,sos,darts,fisk,terminology,femme,echoin,tang,writes,scratcher,thell,shaolin,donnie,toxi,aiyo,bloodsport,specialist,clansman,asia,stereotype,sword,gritty,medallions,killa,highness,growl,enforcin,invent,restore,nursed,manhattan,thrower,chea,urban,lootin,trynna,streetlife,2009,champion
Jadakiss,jadakiss,jadas,ns,jada,mmwwaa,champ,peachy,muah,fuc,bubba,sullivan,handlers,lox,ryde,doped,raspy,niggas,ruff,gunsll,sheek,jasmine,cruisin,crispy,keen,torture,extort,un,author,confiscate,nigga,justification,pushers,wit,shit,hangover,violatin,louch,hoods,contr,methadone,whomp,shine,dutch,downright,blatantly,tonights,nicks,hawk,rs,ai
Ja Rule,inc,murda,ja,vita,begotten,rule,mpire,niggas,murdera,jas,nigga,sy,murdah,irv,murderers,tha,treez,meanz,gotti,ohhhh,bitches,leo,fuck,thug,slugz,doggz,murder,shit,demise,fk,murderas,wit,caller,feared,slugs,holla,takinem,hoodstock,mys,ig,reign,ashanti,haha,btch,bitch,tah,gunz,gangstas,lonely,da
Jay-Z,roc,hov,jigga,swagga,izz,ody,bleek,marcy,jay,z,gi,geyeah,sigel,ide,ge,fella,brooklyn,hova,memph,missing,99,naz,amil,jaz,uhh,jockin,tomarrow,nggaz,ri,niggas,lalala,ke,mamis,nigga,mami,hustler,geah,beanie,shit,bah,hunnid,praising,thoo,shawn,neef,bach,paging,bounce,fuck,adi
Jedi Mind Tricks,vinnie,paz,jedi,hologram,stoupe,blanked,vp,probes,dd,pagans,terrestrial,allah,cerebral,suf,esoteric,pharaohs,ancient,verbal,elohim,tibetan,pharaoh,overstand,portals,colony,disagreeable,torture,backless,spiritual,divine,dimensions,spawned,fluke,galaxy,particles,adored,pharoah,communion,beings,outerspace,ominous,illadelph,priest,judas,mortals,cathedral,dumbin,celestial,chines,heyo,ezekiel
Jungle Brothers,jimbrowski,meany,afrika,jbeez,jungle,woh,freakin,dina,jbs,tribe,sammy,beeds,drivin,buddy,recess,dready,yawl,brothers,yie,jimmy,beez,native,scats,kangaroos,funky,vibes,bam,hut,bra,zigga,q,usage,ultramagnetic,dove,ahhh,prophesized,tribes,yippee,posdnous,blight,treetop,kalled,mike,marryin,ritual,vine,shaheed,vibe,jb,quest
Kid Cudi,nite,cudi,wylin,hooo,stoner,trippy,wowie,lanes,cleveland,runaway,yeaaaah,loner,aite,maui,zonin,wherell,switchin,na,afterwards,unfuckwittable,ew,eww,oooh,galactic,duper,nanananananana,lalala,immortal,lonely,floating,rager,yammin,whoa,hazy,whoaa,leaner,solar,maniac,whoooa,uck,goneee,x3,worries,soundtrack,salutations,honolulu,wale,helpful,motherfucka,cus
Kool G Rap,giancana,censored,cakes,grimm,headcrack,bosss,underworld,kool,gotsta,executioner,jakes,tec,sidewalks,cider,quoti,jan,widow,niggas,shit,cee,queens,operations,coroners,nigga,fort,slugs,nore,cana,skylights,youuuuuuu,xi,honory,pledgin,quot,boons,barcaleno,wig,copping,mines,pap,thug,ta,clicks,bgf,grandest,sables,magnifico,electrocution,costello,rons
Kool Keith,keith,na,kool,blackula,dibble,truckers,buttcrack,defecate,panties,125th,morgue,maxin,balmer,gto,dabble,intruder,santiago,sa,octagon,27,ampex,blam,esham,director,backpacks,thongs,beee,pontiac,14th,urinate,clifton,defecation,dorados,alligators,photographer,mane,bodyguards,bronx,spaceships,promoter,asscrack,piss,lingerie,greyhound,turnpike,tampax,saucers,doodoo,diesel,basketball
KRS-One,krs,kris,overseer,bdp,reigns,vroom,bogle,bronx,edutainment,blastmaster,survivin,freee,simone,lyric,rita,consciousness,culture,teacher,metaphysical,unify,hoppers,bap,blaow,de,democracy,efx,ahhhhhhhhhh,inebriated,redman,spiritual,unity,server,uhh,mc,temple,mcs,anita,gwan,pout,replied,eee,knowledge,teachin,lyrical,strivin,woop,factual,awareness,bink,das
Kurtis Blow,kurtis,aj,basketball,ruled,daydreamin,yeahh,transformers,bronx,slaving,breaks,employed,stere,pearls,showdown,boogie,overtime,stranger,cheered,vicki,annoyed,blues,fancy,awright,wilt,guitar,stories,brakes,clocks,sleigh,limousine,bricklayer,timbales,fannie,casanovas,cpa,razz,wilkins,bambaatta,someplace,clop,umpires,complicatin,babyyyyyyy,vickis,sureshot,shonuff,timess,chalet,diamons,halston
Lauryn Hill,pom,romp,guantanamera,jerusalem,intentional,mera,joyful,guan,tana,lauryn,conquering,pa,matters,deception,inequity,skribble,social,thy,reciprocity,owed,gladness,thee,yuh,theyve,freedom,sparrow,oahh,meeee,traditions,watches,majority,standard,obligation,thine,meeeeeee,realizing,desperately,drum,sweetest,eee,giver,harms,victory,inspire,loving,rainbow,trough,gratis,housetop,sincera
Lil' Kim,kim,peeved,ceas,vivrant,bee,mafia,queen,jm,kimmie,dut,heartbreaker,whoa,lil,mwah,notorious,licks,toppa,toot,fk,ich,benzino,beehive,bitch,kimmy,respirator,peaches,guna,nz,marmalade,junior,biggie,kims,download,lighters,pam,niggas,sumin,shanice,realms,shit,audacity,bella,coucher,jaguar,patron,brooklyn,stuy,gal,waan,mmm
LL Cool J,ll,diggy,farmers,creator,motherland,buckin,relic,todd,j,jlo,goat,hollis,queens,funkadelic,sprung,und,uhh,ynahmean,loungin,thatcha,milky,bells,lls,clowin,heartbeat,fatty,nicht,cobbler,yknowimsayin,le,def,aeiyo,funky,niggy,hush,ls,l,youknowimsayin,whoooo,boulevard,jinglin,diggedy,knowimsayin,dontcha,swizz,whassup,smith,canibus,ole,creators
Mary J. Blige,kn,searching,blige,whoa,skycap,mary,whatsup,confrontation,pms,411,breakthrough,ooh,marys,waterfalls,mending,mjb,someday,tra,rainy,loving,sincerity,asunder,perculatin,babe,hun,realy,valentines,shines,memories,flying,testimony,hmmm,hateration,rainbows,nowhere,stronger,someone,lifetime,changes,satisfied,ohhhh,meantime,whenever,unto,heyy,complete,nono,ooooh,joy,deny
Mase,mase,twyla,mae,harlem,stase,huddy,hud,meeno,betha,loon,becky,cuda,gina,teamsters,cardan,ohyeah,whoooa,prettiest,julie,worldll,gatts,mamacita,fk,niggas,blinky,nigga,rolley,suave,cancun,wit,suvs,700,chimney,carriage,mysonne,waive,droll,evrybody,tyler,motherfker,repeat,bethas,arraign,puffy,cris,z3,gonn,imma,stretch,chu
Masta Killa,ding,wu,allah,jamel,irief,chika,masta,deh,reknowned,tang,arief,sworn,mantis,tilden,craftsman,gath,trynna,salam,shamel,justice,dart,compromisin,pussyhole,shaolin,verrazano,lafayette,informer,nursin,crafted,brooklyn,bloodstream,coughs,chivalry,canteen,imports,ba,toney,nook,lohan,akbar,darts,killa,agreed,silverback,cavalry,iron,grasp,assumption,universe,calculated
MC Lyte,lyte,ruffneck,lytes,positively,lola,deejay,ficky,ain,absolutely,dopest,mc,brooklyn,logics,momll,90s,georgie,hoppers,enlarge,porgie,anna,climbers,poom,companion,coz,y,roseanne,sam,fk,squish,female,libra,fooled,hypin,ruffnecks,rickys,sagitarius,druglord,cram,thus,crowbar,parkay,boredom,clawin,bango,picturesque,twine,oopsy,bubblebath,dapped,tisk
Meek Mill,paulie,levels,liv,bieber,meek,maybach,rozay,muf,gametime,blap,kings,tryna,shawty,downn,miley,mufuckin,ckin,nigga,niggas,youngin,cyrus,nigger,balling,boss,justin,benji,racks,kony,carlo,tonys,yeaa,mmg,757,bitch,shit,monte,rolly,heared,birkin,milly,ck,spitter,vogues,swag,toasts,waiter,panamera,hammers,duffle,doa
Method Man,tical,meth,wu,tang,plo,method,staten,gilla,yameen,fisk,shaolin,rza,aka,studd,torture,carlton,trynna,johnny,clan,stat,verrazano,armaggedeon,niggas,streetlife,squealing,teasin,aiyo,stimulation,aiy,mcgirt,trout,chambers,judgement,billing,ruckus,killa,dolemite,resevoir,owls,lasting,shit,fuck,stimuli,blaow,nigga,elect,countdown,sword,bredren,lung
Mobb Deep,mobb,infamous,noyd,dunn,queensbridge,thun,41st,qbc,havoc,qb,prodigy,duns,hav,niggas,abouts,shit,queens,dun,nigga,cowardly,dunns,bent,hallways,slugs,muzik,fk,halfway,aiyyo,fuck,killt,hectic,muzak,clapped,numerous,shook,heyyyy,alchemist,guns,cmere,project,p,knowhatimsayin,clink,rottin,nuns,shorty,crooks,mines,billas,memorise
Mos Def,mos,kweli,undeniable,mau,unite,bah,claro,cav,simmer,talib,brooklyn,dante,dah,blak,ecstatic,def,boogieman,ge,ahs,ir,incline,whoahhhh,katrina,hurricane,flaco,magnetic,pharoahe,understandin,booka,cyclical,travellin,oasis,illusions,ces,umi,bismillah,sugar,stuy,speedin,radiate,blackstar,sufferers,hidin,boogie,universal,weee,womp,diallo,licensed,behaved
Nas,chie,nas,disciple,wally,queensbridge,oo,bravehearts,qb,dumbs,braveheart,ruled,escobar,niggas,esco,nasir,nastradamus,illmatic,thiefs,shan,gga,thugz,virgo,jung,gangsters,queens,prisoners,qbc,chacun,nasll,olu,shit,hott,mega,extended,thug,colours,nass,41st,mn,shotz,bravehearted,dunn,nigga,cormega,firm,beemers,understandable,brazilian,foxy,project
Naughty By Nature,treach,opp,illtown,dadi,ladi,craziest,naughty,vinnie,cos,vin,ohhhh,hooray,neighbourhood,webber,kay,fk,nature,klick,118,poom,shrinkin,gee,potato,kitten,rottin,mourn,beelow,naughtys,rhymell,connections,gones,pss,drifter,motherfkin,wickedest,mook,kaygee,bruisin,tippy,aphrodite,hennys,ta,motherfkers,spangler,adulthood,overtones,mercifully,kow,thugs,newark
Nicki Minaj,nicki,minaj,raah,roman,dungeon,barbie,dutty,sw,voom,dragon,shitted,na,rah,blazin,gyal,icecream,beez,dominoes,mu,gudda,endorse,mi,yooo,thus,lewinsky,ling,bitches,monroe,roger,cupids,eh,typo,tossed,cone,handstand,yen,lollipop,haffi,wen,flyer,ba,knockout,holiday,silencing,groan,shawty,li,marilyn,replay,starships
The Notorious B.I.G.,biggie,smalls,notorious,dinin,playahh,winin,uhh,unbelievable,clicks,icu,tote,shit,biggies,btch,downfall,motherfuckers,sidekicks,niggas,poppa,nias,fuck,nigga,gonja,frank,pressin,hooker,wiggity,mafia,squeeze,rum,habits,brooklyn,juggle,illest,duets,gat,fuckin,jm,junior,bitch,hypnotize,fckin,clits,2006,blunts,flashy,winbush,ih,baka,cees
Ol' Dirty Bastard,wu,tang,za,odb,rawww,ason,zz,mcgirt,bastard,zoo,duh,nuh,stinkin,shimmy,ol,su,roc,ticklin,taping,zu,sniffs,brooklyn,hut,clang,joni,funkier,dirt,dun,ralphie,sik,blaaow,dirty,yi,jon,icp,goodies,dnn,aspired,meeno,powerfully,illlll,cleverest,resound,superlogical,stickball,ammonia,rza,gab,cunningham,knowimsayin
Public Enemy,flav,niga,swindlers,pe,phisticated,revolutions,coincidence,enemy,33,terminator,solutions,revelations,chuck,madd,flavor,allright,unstoppable,griff,bedlam,whatcha,public,flava,terrordome,agent,terminators,huahh,cointel,iz,politics,dat,crayola,baaaaaad,bluntz,lookout,lemme,cracka,revelation,cmon,stax,louies,truss,hardcore,racism,defy,governments,revolution,rebel,iii,afternoon,13
Q-Tip,bom,vivrant,meany,chu,hooking,abstract,de,thus,buddy,tonite,ummah,saadiq,q,slighted,corretta,consummate,shakur,raphael,loving,hideaways,grumpy,lull,fighting,funkmaster,nooks,infidel,uninvited,kamal,sprits,jibs,certainly,rung,hasty,fraternity,easier,belief,looky,chivalry,intertwine,duds,dilla,thangin,leaguers,coos,distinctive,corridors,contend,kennedys,tupac,mixes
Queen Latifah,latifah,latifahs,merrily,badness,cue,queen,joined,travlin,pom,brightens,elements,positivity,sweethearts,strutting,likkle,wrath,plex,weeping,gladness,overjoyed,whatsoever,ramsey,huff,cooling,among,creme,affliction,georgia,command,monie,willow,swoll,simply,enable,winters,composures,insain,wis,uncrowned,goy,reverie,45,unit,bowl,specimen,conversating,desperately,stereotypes,flavor,oooh
Raekwon,shaolin,raekwon,rae,wu,chef,aiyo,shallah,ghostface,youknowhatimsayin,caramel,rza,niggas,youknowhatimsaying,linx,pecan,starks,knowhatimsayin,yae,tang,hil,shit,clarks,scarfaces,sundaes,mailing,lex,cuban,duh,jakes,yaknowhatimsayin,fudge,fuck,nigga,politic,yal,ditto,twirl,inspectah,vanilla,unconquerable,swade,staircases,ghana,poisonous,french,eh,deluxe,whattup,aiyyo,salvation
Rakim,rakim,ra,persuasive,allah,tengo,punish,militia,spontaneous,barrington,yknow,boldest,contagious,scenes,allahs,anxious,dubar,porque,soloist,universe,levy,guessin,tu,visual,naw,returns,yaknahmean,cama,existed,si,rotated,harnesses,streetll,knowledging,proteins,inorganic,solids,pages,radiate,ist,bis,maximum,te,organic,individuals,timeless,mirages,amazons,skylines,theoretical,misma
Redman,gilla,redman,doc,muh,doggz,dirrty,coc,ppp,funk,funkadelic,meth,gorillaz,reggie,bak,newark,brick,fucka,luva,tical,spock,erick,aiyyo,jerz,darkside,wa,youuuuu,stalk,blaow,pancake,noble,cosmic,jersey,knotty,unruly,murray,bricks,sermon,dat,gorilla,fuck,treez,lod,alota,shit,chickenhead,malpractice,stinkin,mutherfker,muhfucka,boogee
Run-D.M.C.,tricky,dmc,hollis,darryl,jay,tr,adidas,devestating,jammin,jam,riff,perfection,dabba,beatboxing,guitar,queens,stiggidy,rev,gina,illin,afros,dmcs,master,liggy,mary,simmons,homeboy,tougher,ave,jays,pause,q,ahhh,whoo,ruler,dum,84,depths,runs,nooooooo,jims,lama,diddy,1983,jmj,galore,nimble,sucker,tengo,djs
Salt-N-Pepa,pepa,cathy,mario,shoop,doop,salt,spinderella,denton,pep,syncopated,cheryl,noises,sandra,gamin,independent,oooo,salts,somma,ba,somebodys,cher,hurb,sandy,deffer,sexy,peps,mixboard,nerves,turntable,doper,stepper,empress,hurby,fella,hyped,tramp,drumroll,postive,irritation,automation,grandmasters,whoe,sadder,putt,gitty,disturbed,express,pertained,cuz,roper
Schoolly D,schoolly,cheeba,filas,aqua,lleyo,schooly,deejays,psk,didja,gangbanger,badass,teens,whitey,zula,catcha,haired,blackman,prankster,towin,nigger,sometime,plumber,kitches,coqui,gankin,faggot,suckah,baa,code,gased,cs,girlies,hummin,dusted,muthafucka,brotherman,sis,ladi,gramps,nighty,ehm,submerge,uneducated,swigger,funky,popcorn,supernatural,muthafuckin,sucker,caine
Slick Rick,rick,ricky,withdrew,doug,davy,scooby,shay,hiya,vance,ricks,dooby,ruler,advisor,ditty,enforces,gosh,scratched,depart,hon,alonell,ported,although,darn,divorces,crockett,accumulating,doo,nonell,lalalala,di,firmament,gable,trifer,saltin,snooping,embarassment,dishonest,faultin,datty,pullers,girlie,octopus,kit,tenderloin,flirts,fume,slick,patch,finds,pharoahes
Styles P,sp,poobs,ohhhhh,kite,holiday,ghost,niggas,dutch,ohhhhhhhhhhhhhhh,nigga,paniro,tes,haze,iam,styles,fy,kon,shit,sheek,gentleman,gangster,akon,sacrafice,mario,ryde,p,louch,gnac,ryder,fuck,whoaaaa,ruff,j,piff,jadakiss,erybody,swizz,hawk,highhhh,poring,conway,ohhhhhhhhhhhhh,pinero,fired,oughta,dutchie,message,airs,lox,whaddup
Talib Kweli,kweli,talib,clak,blacksmith,bah,kwe,dah,rainbows,offa,deliver,ro,yoyoyo,rawkus,th,eardrum,ghet,ichiban,abdominal,cloak,mos,brooklyn,maaaaaaaaan,grae,revolution,millionaire,navigate,tek,amazin,soundbombing,blackstar,cousins,ture,pa,avery,revolutions,consumers,reflection,freedoms,pharoahe,jean,bizarre,carefree,nawimsayin,spiritual,flatbush,yup,shit,3rd,niggas,lockin
The Diplomats,dipset,santana,rell,camron,juelz,cam,aiyoo,freeky,taliban,jim,killa,zeek,byrd,suttin,rowdy,diplomats,aiite,jones,jr,sandles,diplomat,dips,revoir,harlem,40th,145th,channels,hustla,immunity,diplomatic,capo,movements,roc,whoadie,platt,cinnamin,muchacho,bounce,dip,clocking,gangstas,papo,whant,oozies,harlems,adios,movement,lennox,handles,sequal
The LOX,sheek,lox,ryde,stylez,jadakiss,luchion,fooled,louch,niggas,koochie,wuz,jenny,ruff,paniro,fk,poppa,sill,vipe,mmwwaa,luch,envolved,arf,keenen,pringle,shit,swizz,tightened,mommies,styles,tha,optimum,furnish,wha,porche,videotape,fking,lb,sp,ryders,yonkers,hunnies,chall,ayo,wit,shelltops,setchu,bakeries,dilinger,cocksucker,hugh
The Roots,zen,roots,malik,riq,tariq,grits,mm,tha,illadelph,bop,complexity,illadel,leonard,objects,popcorn,philly,stimulatin,kweli,phila,riddlin,mellow,straighten,hus,mommys,illa,lighter,dynasty,tant,lovely,lighthouse,heh,travolta,contents,sherrif,bahamadia,wop,blah,essay,groovy,silently,aiyyo,crumbs,square,proceed,treatment,phi,getters,illi,yamean,dancehall
RZA,rakeem,digi,boing,bobby,wu,dans,qui,les,pas,lui,cest,rza,digital,bza,tang,le,et,comme,je,ich,tout,analog,shaolin,que,rhumba,hoodrat,bby,jai,du,une,swords,gros,sexcapades,sur,sword,esta,zig,tuh,trop,moi,nicht,chacun,faut,ett,en,jag,nous,wie,shhh,sommers
